Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2013,US,National,242542967,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,2.95E+11,14164450662,3.10E+11,1218,58,1277
2014,US,National,245273438,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,2.82E+11,16175868538,2.98E+11,1150,66,1216
2015,US,National,247773709,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,2.85E+11,16983972385,3.02E+11,1149,69,1217
2000,US,National,209786736,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,4.23E+11,12319663000,4.36E+11,2018,59,2076
2001,US,National,212345162,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,4.12E+11,14688910000,4.27E+11,1940,69,2010
2002,US,National,214754648,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.95E+11,20851781000,4.16E+11,1839,97,1936
2003,US,National,217068101,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.77E+11,23085086000,4.00E+11,1738,106,1844
2004,US,National,219552929,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.75E+11,22677777000,3.98E+11,1708,103,1811
2005,US,National,222003984,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.63E+11,18134795000,3.81E+11,1635,82,1717
2006,US,National,224583123,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.64E+11,16156451000,3.81E+11,1623,72,1695
2007,US,National,227239768,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.48E+11,13272402000,3.62E+11,1533,58,1591
2008,US,National,229945137,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.35E+11,11035202000,3.46E+11,1459,48,1507
2009,US,National,232458335,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,3.08E+11,9348209000,3.18E+11,1327,40,1367
2010,US,National,235153929,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.93E+11,7696903000,3.00E+11,1245,33,1278
2011,US,National,237657645,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.86E+11,6416560000,2.93E+11,1205,27,1232
2012,US,National,240185952,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.80E+11,7348808000,2.87E+11,1165,31,1196
2013,US,National,242542967,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.66E+11,7697423000,2.74E+11,1097,32,1129
2014,US,National,245273438,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.54E+11,8194703000,2.63E+11,1038,33,1071
2015,US,National,247773709,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,2.59E+11,8540221000,2.68E+11,1046,34,1081
2000,US,National,209786736,Combustible Tobacco,Cigars ,Large Cigars,Cigars,3369732285,512194000,3881926285,16,2,19
2001,US,National,212345162,Combustible Tobacco,Cigars ,Large Cigars,Cigars,3563717412,540798000,4104515412,17,3,19
2002,US,National,214754648,Combustible Tobacco,Cigars ,Large Cigars,Cigars,3703237388,499924000,4203161388,17,2,20
2003,US,National,217068101,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4018523214,514566000,4533089214,19,2,21
2004,US,National,219552929,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4319160065,615596000,4934756065,20,3,22
2005,US,National,222003984,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4431800085,651732000,5083532085,20,3,23
2006,US,National,224583123,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4503604349,795133000,5298737349,20,4,24
2007,US,National,227239768,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4658667130,889004000,5547671130,21,4,24
2008,US,National,229945137,Combustible Tobacco,Cigars ,Large Cigars,Cigars,4672736408,984282000,5657018408,20,4,25
2009,US,National,232458335,Combustible Tobacco,Cigars ,Large Cigars,Cigars,7981903518,1802149000,9784052518,34,8,42
2010,US,National,235153929,Combustible Tobacco,Cigars ,Large Cigars,Cigars,9940951946,2345752000,12286703946,42,10,52
2011,US,National,237657645,Combustible Tobacco,Cigars ,Large Cigars,Cigars,9997562563,2931540000,12929102563,42,12,54
2012,US,National,240185952,Combustible Tobacco,Cigars ,Large Cigars,Cigars,9438748098,3586024000,13024772098,39,15,54
2013,US,National,242542967,Combustible Tobacco,Cigars ,Large Cigars,Cigars,7783004119,4716423000,12499427119,32,19,52
2014,US,National,245273438,Combustible Tobacco,Cigars ,Large Cigars,Cigars,6961138057,6169557000,13130695057,28,25,54
2015,US,National,247773709,Combustible Tobacco,Cigars ,Large Cigars,Cigars,5262638420,6481846000,11744484420,21,26,47
2000,US,National,209786736,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2243135044,36049000,2279184044,11,0,11
2001,US,National,212345162,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2171391711,67979000,2239370711,10,0,11
2002,US,National,214754648,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2247836178,95082000,2342918178,10,0,11
2003,US,National,217068101,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2301972488,172369000,2474341488,11,1,11
2004,US,National,219552929,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2701646262,215443000,2917089262,12,1,13
2005,US,National,222003984,Combustible Tobacco,Cigars ,Small Cigars,Cigars,3772041108,196453000,3968494108,17,1,18
2006,US,National,224583123,Combustible Tobacco,Cigars ,Small Cigars,Cigars,4162220407,271875000,4434095407,19,1,20
2007,US,National,227239768,Combustible Tobacco,Cigars ,Small Cigars,Cigars,4849626473,311199000,5160825473,21,1,23
2008,US,National,229945137,Combustible Tobacco,Cigars ,Small Cigars,Cigars,5470956642,409873000,5880829642,24,2,26
2009,US,National,232458335,Combustible Tobacco,Cigars ,Small Cigars,Cigars,2150667840,191877000,2342544840,9,1,10
2010,US,National,235153929,Combustible Tobacco,Cigars ,Small Cigars,Cigars,902728614,79974000,982702614,4,0,4
2011,US,National,237657645,Combustible Tobacco,Cigars ,Small Cigars,Cigars,753869895,44308000,798177895,3,0,3
2012,US,National,240185952,Combustible Tobacco,Cigars ,Small Cigars,Cigars,704842141,57193000,762035141,3,0,3
2013,US,National,242542967,Combustible Tobacco,Cigars ,Small Cigars,Cigars,610589169,48855000,659444169,3,0,3
2014,US,National,245273438,Combustible Tobacco,Cigars ,Small Cigars,Cigars,542454495,21403000,563857495,2,0,2
2015,US,National,247773709,Combustible Tobacco,Cigars ,Small Cigars,Cigars,530680751,23505000,554185751,2,0,2
2000,US,National,209786736,Combustible Tobacco,Cigars ,Total Cigars,Cigars,5612867329,548243000,6161110329,27,3,29
2001,US,National,212345162,Combustible Tobacco,Cigars ,Total Cigars,Cigars,5735109123,608777000,6343886123,27,3,30
2002,US,National,214754648,Combustible Tobacco,Cigars ,Total Cigars,Cigars,5951073566,595006000,6546079566,28,3,30
2003,US,National,217068101,Combustible Tobacco,Cigars ,Total Cigars,Cigars,6320495702,686935000,7007430702,29,3,32
2004,US,National,219552929,Combustible Tobacco,Cigars ,Total Cigars,Cigars,7020806327,831039000,7851845327,32,4,36
2005,US,National,222003984,Combustible Tobacco,Cigars ,Total Cigars,Cigars,8203841193,848185000,9052026193,37,4,41
2006,US,National,224583123,Combustible Tobacco,Cigars ,Total Cigars,Cigars,8665824756,1067008000,9732832756,39,5,43
2007,US,National,227239768,Combustible Tobacco,Cigars ,Total Cigars,Cigars,9508293603,1200203000,10708496603,42,5,47
